Entity,Code,Year,Births attended by skilled health staff (% of total)
Croatia,HRV,2016,99.9
Croatia,HRV,2017,99.9
Croatia,HRV,2019,99.96
Cuba,CUB,1990,99.8
Cuba,CUB,1991,99.8
Cuba,CUB,1992,99.8
Cuba,CUB,1993,99.8
Cuba,CUB,1994,99.8
Cuba,CUB,1995,99.8
Cuba,CUB,1996,99.8
Cuba,CUB,1997,99.9
Cuba,CUB,1998,99.9
Cuba,CUB,1999,99.9
Cuba,CUB,2000,99.9
Cuba,CUB,2001,99.9
Cuba,CUB,2002,99.9
Cuba,CUB,2003,99.9
Cuba,CUB,2004,99.9
Cuba,CUB,2005,99.9
Cuba,CUB,2006,99.9
Cuba,CUB,2007,99.9
Cuba,CUB,2008,99.9
Cuba,CUB,2009,99.9
Cuba,CUB,2010,99.9
Cuba,CUB,2011,99.9
Cuba,CUB,2012,99.9
Cuba,CUB,2013,99.9
Cuba,CUB,2014,99.4
Cuba,CUB,2015,99.9
Cuba,CUB,2016,99.9
Cuba,CUB,2017,99.9
Cuba,CUB,2018,99.9
Cuba,CUB,2019,100
Cyprus,CYP,1990,100
Cyprus,CYP,1991,100
Cyprus,CYP,1992,100
Cyprus,CYP,1993,100
Cyprus,CYP,1994,100
Cyprus,CYP,1995,100
Cyprus,CYP,1996,100
Cyprus,CYP,1997,100
Cyprus,CYP,1998,100
Cyprus,CYP,1999,100
Cyprus,CYP,2000,97.9
Cyprus,CYP,2003,99
Cyprus,CYP,2004,95.7
Cyprus,CYP,2005,99.3
Cyprus,CYP,2006,98.5
Cyprus,CYP,2007,98.3
Cyprus,CYP,2008,97.2
Cyprus,CYP,2009,98.3
Cyprus,CYP,2010,98.6
Cyprus,CYP,2011,98.3
Cyprus,CYP,2012,98.7
Cyprus,CYP,2013,99.9
Cyprus,CYP,2014,97.4
Cyprus,CYP,2015,97.1
Cyprus,CYP,2016,95.6
Cyprus,CYP,2017,96
Cyprus,CYP,2018,98.3
Cyprus,CYP,2019,99.3
Czechia,CZE,1989,100
Czechia,CZE,1990,100
Czechia,CZE,1991,100
Czechia,CZE,1992,100
Czechia,CZE,1993,100
Czechia,CZE,1994,100
Czechia,CZE,1995,100
Czechia,CZE,1996,100
Czechia,CZE,1997,100
Czechia,CZE,1998,99.9
Czechia,CZE,1999,99.9
Czechia,CZE,2000,99.8
Czechia,CZE,2001,99.8
Czechia,CZE,2002,99.8
Czechia,CZE,2003,99.8
Czechia,CZE,2004,99.8
Czechia,CZE,2005,99.8
Czechia,CZE,2006,99.7
Czechia,CZE,2007,99.7
Czechia,CZE,2008,99.6
Czechia,CZE,2009,99.6
Czechia,CZE,2010,99.7
Czechia,CZE,2011,99.9
Czechia,CZE,2012,99.9
Czechia,CZE,2013,99.8
Czechia,CZE,2014,99.8
Czechia,CZE,2017,99.8
Democratic Republic of Congo,COD,2001,60.7
Democratic Republic of Congo,COD,2007,74
Democratic Republic of Congo,COD,2010,74.1
Democratic Republic of Congo,COD,2014,80.1
Democratic Republic of Congo,COD,2018,85.2
Denmark,DNK,1987,100
Denmark,DNK,1997,98.3
Denmark,DNK,1998,98.8
Denmark,DNK,1999,98.7
Denmark,DNK,2000,98.8
Denmark,DNK,2001,98.9
Denmark,DNK,2002,98.8
Denmark,DNK,2003,98.9
Denmark,DNK,2004,98.6
Denmark,DNK,2005,98.8
Denmark,DNK,2006,98.7
Denmark,DNK,2007,97.8
Denmark,DNK,2009,98.7
Denmark,DNK,2010,98.5
Denmark,DNK,2011,98.5
Denmark,DNK,2012,98.2
Denmark,DNK,2013,96.3
Denmark,DNK,2014,95.9
Denmark,DNK,2015,95.4
Denmark,DNK,2016,94.4
Denmark,DNK,2017,95.1
Denmark,DNK,2018,95.3
Djibouti,DJI,2003,60.6
Djibouti,DJI,2006,78.4
Djibouti,DJI,2012,87.4
Dominica,DMA,1995,100
Dominica,DMA,1998,95
Dominica,DMA,1999,99.9
Dominica,DMA,2000,100
Dominica,DMA,2001,100
Dominica,DMA,2002,100
Dominica,DMA,2003,100
Dominica,DMA,2004,100
Dominica,DMA,2005,99
Dominica,DMA,2007,94
Dominica,DMA,2008,100
Dominica,DMA,2009,100
Dominica,DMA,2010,100
Dominica,DMA,2011,100
Dominica,DMA,2012,100
Dominica,DMA,2013,100
Dominica,DMA,2014,100
Dominica,DMA,2015,100
Dominica,DMA,2016,100
Dominica,DMA,2017,100
Dominica,DMA,2018,100
Dominica,DMA,2019,100
Dominica,DMA,2020,100
Dominican Republic,DOM,1986,89.8
Dominican Republic,DOM,1991,92.2
Dominican Republic,DOM,1996,95.3
Dominican Republic,DOM,1999,97.4
Dominican Republic,DOM,2000,97.6
Dominican Republic,DOM,2002,97.8
Dominican Republic,DOM,2006,95.5
Dominican Republic,DOM,2007,97.8
Dominican Republic,DOM,2010,97.8
Dominican Republic,DOM,2011,98.7
Dominican Republic,DOM,2012,98.8
Dominican Republic,DOM,2013,98.2
Dominican Republic,DOM,2014,98.6
Dominican Republic,DOM,2015,99.6
Dominican Republic,DOM,2016,99.8
Dominican Republic,DOM,2017,99.8
Dominican Republic,DOM,2018,99.7
Dominican Republic,DOM,2019,99.2
East Asia and Pacific (WB),,1990,85.04184
East Asia and Pacific (WB),,2000,85.3056
East Asia and Pacific (WB),,2010,92.43514
East Asia and Pacific (WB),,2019,95.41986
East Timor,TLS,1997,25.8
East Timor,TLS,2002,24
East Timor,TLS,2003,18.4
East Timor,TLS,2010,29.9
East Timor,TLS,2016,56.7
Ecuador,ECU,1987,61.3
Ecuador,ECU,1994,98.7
Ecuador,ECU,1999,99.1
Ecuador,ECU,2000,70.93118
Ecuador,ECU,2001,71.38548
Ecuador,ECU,2002,73.70105
Ecuador,ECU,2003,75.101524
Ecuador,ECU,2004,76.41589
Ecuador,ECU,2005,78.54902
Ecuador,ECU,2006,80.5507
Ecuador,ECU,2007,82.0018
Ecuador,ECU,2008,83.959045
Ecuador,ECU,2009,85.64073
Ecuador,ECU,2010,87.437706
Ecuador,ECU,2011,89.67108
Ecuador,ECU,2012,91.686424
Ecuador,ECU,2013,93.31785
Ecuador,ECU,2014,94.73425
Ecuador,ECU,2015,94.23076
Ecuador,ECU,2016,94.0591
Ecuador,ECU,2017,95.58197
Ecuador,ECU,2018,95.92251
Ecuador,ECU,2019,97.154915
Egypt,EGY,1988,34.6
Egypt,EGY,1991,36.5
Egypt,EGY,1992,40.7
Egypt,EGY,1993,40.7
Egypt,EGY,1995,46.2
Egypt,EGY,1996,46.3
Egypt,EGY,1997,56.4
Egypt,EGY,1998,55.2
Egypt,EGY,2000,60.9
Egypt,EGY,2003,69.4
Egypt,EGY,2005,74.2
Egypt,EGY,2008,78.9
Egypt,EGY,2014,91.5
El Salvador,SLV,1985,85.4
El Salvador,SLV,1988,90
El Salvador,SLV,1993,87.4
El Salvador,SLV,1998,90.4
El Salvador,SLV,2003,92.4
El Salvador,SLV,2005,87.2
El Salvador,SLV,2006,89.6
El Salvador,SLV,2007,93.1
El Salvador,SLV,2008,95.5
El Salvador,SLV,2009,97.5
El Salvador,SLV,2010,98
El Salvador,SLV,2011,99
El Salvador,SLV,2012,99.5
El Salvador,SLV,2013,99.8
El Salvador,SLV,2014,98
El Salvador,SLV,2015,99.9
El Salvador,SLV,2016,99.9
El Salvador,SLV,2017,99.9
El Salvador,SLV,2018,99.9
Equatorial Guinea,GNQ,1994,5
Equatorial Guinea,GNQ,2000,64.6
Equatorial Guinea,GNQ,2011,68.3
Eritrea,ERI,1995,20.6
Eritrea,ERI,1996,20.6
Eritrea,ERI,2002,28.3
Eritrea,ERI,2010,34.1
Estonia,EST,1989,99
Estonia,EST,1992,98.9
Estonia,EST,1993,99.1
Estonia,EST,1994,99.1
Estonia,EST,1995,99.3
Estonia,EST,1996,99.4
Estonia,EST,1997,99.3
Estonia,EST,1998,99.5
Estonia,EST,1999,99.5
Estonia,EST,2000,99.6
Estonia,EST,2001,99.6
Estonia,EST,2002,99.6
Estonia,EST,2003,99.5
Estonia,EST,2004,99.8
Estonia,EST,2005,99.7
Estonia,EST,2006,99.7
Estonia,EST,2007,99.7
Estonia,EST,2008,99.7
Estonia,EST,2009,99.7
Estonia,EST,2010,99.8
Estonia,EST,2011,99.7
Estonia,EST,2012,99.8
Estonia,EST,2013,99.7
Estonia,EST,2014,99.7
Estonia,EST,2015,99.7
Estonia,EST,2016,99.7
Estonia,EST,2017,99.5
Estonia,EST,2018,99.6
Estonia,EST,2019,99.7
Estonia,EST,2020,99.6
Eswatini,SWZ,1994,56
Eswatini,SWZ,2000,65.4
Eswatini,SWZ,2002,74
Eswatini,SWZ,2007,74.3
Eswatini,SWZ,2010,82
Eswatini,SWZ,2014,88.3
Ethiopia,ETH,1998,6.5
Ethiopia,ETH,2000,5.6
Ethiopia,ETH,2004,6.4
Ethiopia,ETH,2005,5.7
Ethiopia,ETH,2011,10.8
Ethiopia,ETH,2013,23.1
Ethiopia,ETH,2014,15.5
Ethiopia,ETH,2016,27.7
Ethiopia,ETH,2019,49.8
Europe and Central Asia (WB),,2000,95.429535
Europe and Central Asia (WB),,2010,98.30603
Europe and Central Asia (WB),,2019,98.50631
European Union (27),,2000,99.38824
European Union (27),,2010,98.65295
European Union (27),,2019,98.08162
Fiji,FJI,1990,95.3
Fiji,FJI,1991,94.5
Fiji,FJI,1993,97.6
Fiji,FJI,1994,96.2
Fiji,FJI,1995,96.2
Fiji,FJI,1996,96.3
Fiji,FJI,1997,96.2
Fiji,FJI,1998,96.7
Fiji,FJI,1999,96.4
Fiji,FJI,2000,96.9
Fiji,FJI,2001,98.4
Fiji,FJI,2002,96.9
Fiji,FJI,2003,96.7
Fiji,FJI,2004,97
Fiji,FJI,2005,97.2
Fiji,FJI,2006,99.3
Fiji,FJI,2007,99
Fiji,FJI,2008,98.8
Fiji,FJI,2009,99.8
Fiji,FJI,2010,99.7
Fiji,FJI,2011,99.6
Fiji,FJI,2012,99.3
Fiji,FJI,2013,98.8
Fiji,FJI,2014,99.7
Fiji,FJI,2015,99.9
Fiji,FJI,2016,99.8
Fiji,FJI,2021,99.8
Finland,FIN,1990,98.8
Finland,FIN,1992,98.6
Finland,FIN,1993,98.6
Finland,FIN,1994,98.5
Finland,FIN,1995,98.5
Finland,FIN,1996,98.4
Finland,FIN,1997,98.4
Finland,FIN,1998,98.3
Finland,FIN,1999,98.4
Finland,FIN,2000,99.9
Finland,FIN,2001,99.9
Finland,FIN,2002,99.9
Finland,FIN,2003,99.9
Finland,FIN,2004,99.8
Finland,FIN,2005,99.9
Finland,FIN,2006,99.8
Finland,FIN,2007,99.8
Finland,FIN,2008,99.8
Finland,FIN,2009,99.8
Finland,FIN,2010,99.8
Finland,FIN,2011,99.8
Finland,FIN,2012,99.8
Finland,FIN,2013,99.7
Finland,FIN,2014,99.7
Finland,FIN,2015,99.7
Finland,FIN,2016,99.6
Finland,FIN,2017,99.6
Finland,FIN,2018,99.6
Finland,FIN,2019,99.5
Finland,FIN,2020,99.6
France,FRA,1993,99
France,FRA,2001,99.6
France,FRA,2004,98
France,FRA,2005,97.9
France,FRA,2006,98.3
France,FRA,2007,98.1
France,FRA,2008,98
France,FRA,2009,97.9
France,FRA,2010,97.5
France,FRA,2011,96.2
France,FRA,2012,97.1
France,FRA,2013,98.3
France,FRA,2014,98.3
France,FRA,2015,97.7
France,FRA,2016,97.4
France,FRA,2017,98
France,FRA,2018,98.1
France,FRA,2019,97.6
French Polynesia,PYF,2000,99
Gabon,GAB,2000,82.6
Gabon,GAB,2001,85.5
Gabon,GAB,2012,87.1
Gambia,GMB,1990,44.1
Gambia,GMB,2000,51.6
Gambia,GMB,2006,52.1
Gambia,GMB,2010,56.1
Gambia,GMB,2013,57.2
Gambia,GMB,2018,82.7
Gambia,GMB,2020,83.8
Georgia,GEO,1989,94.6
Georgia,GEO,1990,96.6
Georgia,GEO,1991,91.3
Georgia,GEO,1992,91.1
Georgia,GEO,1993,90.8
Georgia,GEO,1998,96
Georgia,GEO,1999,96.4
Georgia,GEO,2000,95.5
Georgia,GEO,2001,96.6
Georgia,GEO,2002,97.4
Georgia,GEO,2003,97.2
Georgia,GEO,2004,97.5
Georgia,GEO,2005,98.3
Georgia,GEO,2006,98.8
Georgia,GEO,2007,99.4
Georgia,GEO,2008,99.6
Georgia,GEO,2009,99.7
Georgia,GEO,2010,99.6
Georgia,GEO,2011,99.8
Georgia,GEO,2012,99.8
Georgia,GEO,2013,99.9
Georgia,GEO,2014,99.9
Georgia,GEO,2015,99.9
Georgia,GEO,2016,99.9
Georgia,GEO,2017,99.9
Georgia,GEO,2018,99.8
Georgia,GEO,2019,99.8
Georgia,GEO,2020,99.8
Germany,DEU,1986,100
Germany,DEU,1999,98.7
Germany,DEU,2000,98.6
Germany,DEU,2001,98.6
Germany,DEU,2002,98.6
Germany,DEU,2003,98.6
Germany,DEU,2004,98.2
Germany,DEU,2005,98.2
Germany,DEU,2006,98.4
Germany,DEU,2007,98.4
Germany,DEU,2008,98.5
Germany,DEU,2009,98.3
Germany,DEU,2010,96.8
Germany,DEU,2011,96.9
Germany,DEU,2012,97
Germany,DEU,2013,96.9
Germany,DEU,2014,96.9
Germany,DEU,2015,97.1
Germany,DEU,2016,96.2
Germany,DEU,2017,97.1
Germany,DEU,2018,96.2
Germany,DEU,2019,96.2
Ghana,GHA,1988,40.1
Ghana,GHA,1993,43.8
Ghana,GHA,1994,43.8
Ghana,GHA,1998,44.3
Ghana,GHA,1999,44.3
Ghana,GHA,2003,47.1
Ghana,GHA,2006,49.7
Ghana,GHA,2007,55.2
Ghana,GHA,2008,58.7
Ghana,GHA,2011,67.2
Ghana,GHA,2014,73.7
Ghana,GHA,2017,78.1
Ghana,GHA,2018,78.9
Greece,GRC,1980,99.29
Greece,GRC,1981,99.37
Greece,GRC,1982,99.45
Greece,GRC,1983,99.51
Greece,GRC,1984,99.6
Greece,GRC,1985,99.7
Greece,GRC,1986,99.71
Greece,GRC,1987,99.69
Greece,GRC,1988,99.73
Greece,GRC,1989,99.77
Greece,GRC,1990,99.82
Greece,GRC,1991,99.78
Greece,GRC,1992,99.78
Greece,GRC,1993,99.81
Greece,GRC,1994,99.87
Greece,GRC,1995,99.88
Greece,GRC,1996,99.86
Greece,GRC,1997,99.89
Greece,GRC,1998,99.9
Greece,GRC,1999,99.93
Greece,GRC,2000,99.94
Greece,GRC,2001,99.95
Greece,GRC,2002,99.96
Greece,GRC,2003,99.98
Greece,GRC,2004,99.97
Greece,GRC,2005,99.97
Greece,GRC,2006,99.99
Greece,GRC,2007,99.98
Greece,GRC,2008,99.97
Greece,GRC,2009,99.95
Greece,GRC,2010,99.96
Greece,GRC,2011,99.96
Greece,GRC,2012,99.91
Greece,GRC,2013,99.91
Greece,GRC,2014,99.93
Greece,GRC,2015,99.94
Greece,GRC,2016,99.94
Greece,GRC,2017,99.93
Greece,GRC,2018,99.9
Grenada,GRD,1995,100
Grenada,GRD,1998,99
Grenada,GRD,1999,99
Grenada,GRD,2000,100
Grenada,GRD,2002,100
Grenada,GRD,2003,100
Grenada,GRD,2005,100
Grenada,GRD,2007,98.8
Grenada,GRD,2009,100
Grenada,GRD,2011,100
Grenada,GRD,2012,99
Grenada,GRD,2013,99
Grenada,GRD,2014,99
Grenada,GRD,2015,99
Grenada,GRD,2016,99.3
Grenada,GRD,2017,100
Guam,GUM,2001,99.4
Guatemala,GTM,1984,35
Guatemala,GTM,1987,29.1
Guatemala,GTM,1995,34.8
Guatemala,GTM,1999,40.4
Guatemala,GTM,2000,41.4
Guatemala,GTM,2001,41.4
Guatemala,GTM,2002,41.4
Guatemala,GTM,2007,31.4
Guatemala,GTM,2009,51.5
Guatemala,GTM,2010,52.3
Guatemala,GTM,2012,58.7
Guatemala,GTM,2013,62.8
Guatemala,GTM,2014,67
Guatemala,GTM,2015,65.5
Guatemala,GTM,2016,69.8
Guatemala,GTM,2017,69.6
Guinea,GIN,1992,30.5
Guinea,GIN,1999,34.8
Guinea,GIN,2003,48.7
Guinea,GIN,2005,32.4
Guinea,GIN,2007,46.1
Guinea,GIN,2008,46.1
Guinea,GIN,2012,41.1
Guinea,GIN,2016,62.7
Guinea,GIN,2018,55.3
Guinea-Bissau,GNB,1995,25
Guinea-Bissau,GNB,2000,31.8
Guinea-Bissau,GNB,2006,31
Guinea-Bissau,GNB,2010,43
Guinea-Bissau,GNB,2014,45
Guinea-Bissau,GNB,2019,53.8
Guyana,GUY,1995,93
Guyana,GUY,1997,95
Guyana,GUY,1998,94
Guyana,GUY,2000,82.9
Guyana,GUY,2001,93.8
Guyana,GUY,2003,94
Guyana,GUY,2004,95.9
Guyana,GUY,2005,96.7
Guyana,GUY,2006,96.6
Guyana,GUY,2007,80.9
Guyana,GUY,2008,96
Guyana,GUY,2009,88.8
Guyana,GUY,2012,97.3
Guyana,GUY,2013,98.3
Guyana,GUY,2014,85.7
Guyana,GUY,2015,95.8
Guyana,GUY,2016,94.3
Guyana,GUY,2017,96.7
Guyana,GUY,2018,95.1
Guyana,GUY,2019,95
Guyana,GUY,2020,97.6
Haiti,HTI,1989,23
Haiti,HTI,1995,20.6
Haiti,HTI,2000,23.8
Haiti,HTI,2005,26.1
Haiti,HTI,2006,26.1
Haiti,HTI,2012,37.3
Haiti,HTI,2013,48.6
Haiti,HTI,2017,41.6
High-income countries,,2000,98.92063
High-income countries,,2010,98.97089
High-income countries,,2019,98.71873
Honduras,HND,1987,42.1
Honduras,HND,1992,46.9
Honduras,HND,1996,54.9
Honduras,HND,2001,55.7
Honduras,HND,2006,66.9
Honduras,HND,2012,82.9
Honduras,HND,2015,72
Honduras,HND,2016,79
Honduras,HND,2017,74
Honduras,HND,2019,94.1
Hong Kong,HKG,2005,100
Hungary,HUN,1989,99.4
Hungary,HUN,1990,99.4
Hungary,HUN,1991,99.4
Hungary,HUN,1992,99.5
Hungary,HUN,1993,99.4
Hungary,HUN,1994,99.4
Hungary,HUN,1995,99.4
Hungary,HUN,1996,99.5
Hungary,HUN,1997,99.5
Hungary,HUN,1998,99.5
Hungary,HUN,1999,99.5
Hungary,HUN,2000,99.5
Hungary,HUN,2001,99.6
Hungary,HUN,2002,99.6
Hungary,HUN,2003,99.6
Hungary,HUN,2004,99.6
Hungary,HUN,2005,99.6
Hungary,HUN,2006,99.7
Hungary,HUN,2007,99.6
Hungary,HUN,2008,99.5
Hungary,HUN,2009,99.6
Hungary,HUN,2010,99.1
Hungary,HUN,2011,99
Hungary,HUN,2012,99
Hungary,HUN,2013,99.1
Hungary,HUN,2014,99.2
Hungary,HUN,2015,99.6
Hungary,HUN,2016,99.7
Hungary,HUN,2017,99.7
Iceland,ISL,1990,100
Iceland,ISL,1991,99.9
Iceland,ISL,1992,99.8
Iceland,ISL,1993,99.8
Iceland,ISL,1994,99.8
Iceland,ISL,1995,99.8
Iceland,ISL,1996,99.8
Iceland,ISL,1997,99.8
Iceland,ISL,1998,99.9
Iceland,ISL,1999,99.6
Iceland,ISL,2000,99.3
Iceland,ISL,2001,99.5
Iceland,ISL,2002,99.4
Iceland,ISL,2003,99.4
Iceland,ISL,2004,99.4
Iceland,ISL,2005,99
Iceland,ISL,2006,98.9
Iceland,ISL,2007,98.9
Iceland,ISL,2008,98.7
Iceland,ISL,2009,98.8
Iceland,ISL,2010,98.2
Iceland,ISL,2011,97.9
Iceland,ISL,2012,97.8
Iceland,ISL,2013,98.1
Iceland,ISL,2014,97.8
Iceland,ISL,2015,98.2
Iceland,ISL,2016,97.9
Iceland,ISL,2017,98
Iceland,ISL,2018,98.2
Iceland,ISL,2019,98.3
Iceland,ISL,2020,97.4
India,IND,1993,34.2
India,IND,1999,42.3
India,IND,2000,42.5
India,IND,2006,45.5
India,IND,2008,52.3
India,IND,2014,81.4
India,IND,2016,81.4
India,IND,2021,89.4
Indonesia,IDN,1987,36.3
Indonesia,IDN,1990,40.7
Indonesia,IDN,1991,35.1
Indonesia,IDN,1992,40.7
Indonesia,IDN,1994,39.8
Indonesia,IDN,1995,49.7
Indonesia,IDN,1997,49.1
Indonesia,IDN,1998,56
Indonesia,IDN,2000,66.9
Indonesia,IDN,2002,68.4
Indonesia,IDN,2003,66.2
Indonesia,IDN,2004,71.5
Indonesia,IDN,2007,73
Indonesia,IDN,2008,74.86
Indonesia,IDN,2010,82.2
Indonesia,IDN,2012,83.1
Indonesia,IDN,2013,87.4
Indonesia,IDN,2016,92.6
Indonesia,IDN,2017,90.9
Indonesia,IDN,2018,93.6
Indonesia,IDN,2019,94.7
Iran,IRN,1997,86.1
Iran,IRN,2000,89.6
Iran,IRN,2005,97.3
Iran,IRN,2009,97.7
Iran,IRN,2010,96.4
Iran,IRN,2011,98.5
Iran,IRN,2012,98.8
Iran,IRN,2013,98.8
Iran,IRN,2014,99
Iraq,IRQ,1989,54
Iraq,IRQ,2000,65.2
Iraq,IRQ,2006,88.5
Iraq,IRQ,2007,79.7
Iraq,IRQ,2011,90.9
Iraq,IRQ,2012,70.4
Iraq,IRQ,2018,95.6
Ireland,IRL,1999,99.5
Ireland,IRL,2000,99.6
Ireland,IRL,2001,99.6
Ireland,IRL,2002,99.5
Ireland,IRL,2003,99.6
Ireland,IRL,2004,99.7
Ireland,IRL,2005,99.7
Ireland,IRL,2006,99.7
Ireland,IRL,2007,99.7
Ireland,IRL,2008,99.8
Ireland,IRL,2009,99.8
Ireland,IRL,2010,99.8
Ireland,IRL,2011,99.8
Ireland,IRL,2012,99.8
Ireland,IRL,2013,99.8
Ireland,IRL,2014,99.7
Ireland,IRL,2015,99.7
Ireland,IRL,2016,99.7
Ireland,IRL,2017,99.7
Isle of Man,IMN,1990,47.74766
Isle of Man,IMN,2000,71.50205
Isle of Man,IMN,2010,81.43068
Israel,ISR,1987,99
Italy,ITA,2000,99.8
Italy,ITA,2002,99.6
Italy,ITA,2003,99.6
Italy,ITA,2004,99.8
Italy,ITA,2005,99.8
Italy,ITA,2006,99.8
Italy,ITA,2007,99.6
Italy,ITA,2008,99.8
Italy,ITA,2009,99.8
Italy,ITA,2010,99.9
Italy,ITA,2011,99.9
Italy,ITA,2013,99.9
Italy,ITA,2014,99.9
Italy,ITA,2015,99.9
Italy,ITA,2016,99.9
Italy,ITA,2017,99.9
Italy,ITA,2018,99.9
Italy,ITA,2019,99.8
Jamaica,JAM,1989,92
Jamaica,JAM,1993,93.4
Jamaica,JAM,1996,90
Jamaica,JAM,1997,94.6
Jamaica,JAM,2000,95.9
Jamaica,JAM,2001,98.5
Jamaica,JAM,2002,96.9
Jamaica,JAM,2003,97.4
Jamaica,JAM,2005,96.7
Jamaica,JAM,2006,94.5
Jamaica,JAM,2007,93
Jamaica,JAM,2008,98.3
Jamaica,JAM,2009,98.3
Jamaica,JAM,2010,95.3
Jamaica,JAM,2011,99.1
Jamaica,JAM,2012,99.5
Jamaica,JAM,2013,99.7
Jamaica,JAM,2014,99.7
Jamaica,JAM,2015,99.7
Jamaica,JAM,2016,99.7
Jamaica,JAM,2017,99.7
Jamaica,JAM,2018,99.7
Japan,JPN,1990,99.9
Japan,JPN,1995,99.9
Japan,JPN,1996,100
Japan,JPN,2000,99.8
Japan,JPN,2001,99.8
Japan,JPN,2002,99.8
Japan,JPN,2003,99.8
Japan,JPN,2004,99.8
Japan,JPN,2005,99.8
Japan,JPN,2006,99.8
Japan,JPN,2007,99.8
Japan,JPN,2008,99.8
Japan,JPN,2009,99.8
Japan,JPN,2010,99.8
Japan,JPN,2011,99.8
Japan,JPN,2012,99.8
Japan,JPN,2014,99.8
Japan,JPN,2015,99.9
Japan,JPN,2016,99.8
Japan,JPN,2017,99.9
Japan,JPN,2018,99.9
Japan,JPN,2019,99.9
Japan,JPN,2020,99.9
Jordan,JOR,1990,87.3
Jordan,JOR,1997,96.6
Jordan,JOR,2002,98.3
Jordan,JOR,2007,99
Jordan,JOR,2012,99.6
Jordan,JOR,2018,99.7
Kazakhstan,KAZ,1989,99
Kazakhstan,KAZ,1990,99
Kazakhstan,KAZ,1991,98.1
Kazakhstan,KAZ,1992,98.9
Kazakhstan,KAZ,1993,98.6
Kazakhstan,KAZ,1994,98.3
Kazakhstan,KAZ,1995,99.6
Kazakhstan,KAZ,1996,98.1
Kazakhstan,KAZ,1997,97.6
Kazakhstan,KAZ,1998,98
Kazakhstan,KAZ,1999,98.7
Kazakhstan,KAZ,2000,98.3
Kazakhstan,KAZ,2001,98.5
Kazakhstan,KAZ,2002,98.9
Kazakhstan,KAZ,2003,99.4
Kazakhstan,KAZ,2004,99.4
Kazakhstan,KAZ,2005,99.4
Kazakhstan,KAZ,2006,99.8
Kazakhstan,KAZ,2007,99.5
